municipio,ganador_2022,ppd_votos,ppd_per,pnp_votos,pnp_per,pip_votos,pip_per,mvc_votos,mvc_per,pd_votos,pd_per,indies_votos,indies_per,validos,otros,mal_votado,no_votado,blanco,nulo,total
Adjuntas,ppd,"4,263",50.1,"4,001",47,240,2.8,,,,,,,"8,504",36,2,47,98,11,"8,698"
Aguada,ppd,"10,362",58.4,"6,966",39.2,423,2.4,,,,,,,"17,751",38,10,135,90,21,"18,045"
Aguadilla,ppd,"8,863",46.8,"8,808",46.5,"1,018",5.4,,,,,238,1.3,"18,927",77,23,208,99,44,"19,378"
Aguas Buenas,pnp,"1,200",2,"5,429",54.3,"1,150",11.5,,,,,"2,228",22.3,"10,007",25,5,174,55,10,"10,276"
Aibonito,pnp,"3,696",34.7,"6,447",60.5,521,4.9,,,,,,,"10,664",23,7,109,51,6,"10,860"
Añasco,pnp,"4,516",40,"6,168",54.6,192,1.7,411,3.6,,,8,0.1,"11,295",13,5,22,34,9,"11,378"
Arecibo,ppd,"19,903",61.2,"10,951",33.7,"1,651",5.1,,,,,,,"32,505",222,26,442,424,46,"33,665"
Arroyo,ppd,"4,886",81,855,14.2,294,4.9,,,,,,,"6,035","1,251",4,39,43,1,"7,373"
Barceloneta,ppd,"7,935",75.1,"2,453",23.2,171,1.6,,,,,,,"10,559",15,11,35,50,7,"10,677"
Barranquitas,pnp,"6,318",48.3,"6,483",49.6,276,2.1,,,,,,,"13,077",8,4,16,31,7,"13,143"
Bayamón,pnp,"10,957",17,"50,301",78,"3,261",5.1,,,,,,,"64,519",95,30,"1,448",344,64,"66,500"
Cabo Rojo,pnp,"7,051",45.5,"7,265",46.8,"1,194",7.7,,,,,,,"15,510",67,5,326,85,14,"16,007"
Caguas,ppd,"20,370",44.8,"18,778",41.3,"6,300",13.9,,,,,,,"45,448",95,31,"1,236",441,91,"47,342"
Camuy,pnp,"6,057",39.9,"8,666",57.2,440,2.9,,,,,,,"15,163",24,6,36,100,11,"15,340"
Canóvanas,pnp,"6,337",43.8,"7,312",50.5,830,5.7,,,,,,,"14,479",75,9,268,94,25,"14,950"
Carolina,ppd,"34,679",67.7,"12,800",25,"3,764",7.3,,,,,,,"51,243",97,27,"1,995",447,26,"53,835"
Cataño,pnp,"1,904",18.8,"7,847",77.5,373,3.7,,,,,,,"10,124",22,5,132,36,17,"10,336"
Cayey,ppd,"12,397",78.4,"2,523",16,897,5.7,,,,,,,"15,817",31,11,339,124,16,"16,338"
Ceiba,pnp,"1,505",30.7,"3,243",66,162,3.3,,,,,,,"4,910",15,18,19,29,8,"4,999"
Ciales,pnp,"3,672",42.6,"4,221",49,207,2.4,,,,,512,5.9,"8,612",28,1,71,63,20,"8,795"
Cidra,ppd,"8,611",56,"5,660",36.8,"1,116",7.3,,,,,,,"15,387",78,6,402,128,15,"16,016"
Coamo,ppd,"8,653",64.2,"4,435",32.9,398,3,,,,,,,"13,486",33,12,93,116,12,"13,752"
Comerío,ppd,"4,517",57.2,"2,910",36.8,170,2.2,301,3.8,,,,,"7,898",7,0,71,45,2,"8,023"
Corozal,pnp,"5,971",38.6,"9,016",58.3,475,3.1,,,,,,,"15,462",24,3,35,61,28,"15,613"
Culebra,pnp,558,48.3,570,49.3,28,2.4,,,,,,,"1,156",5,0,2,5,3,"1,171"
Dorado,ppd,"8,504",59.9,"5,156",36.3,532,3.7,,,,,,,"14,192",29,4,187,55,14,"14,481"
Fajardo,pnp,"1,706",19.7,"6,139",71,798,9.2,,,,,,,"8,643",926,5,168,61,10,"9,813"
Florida,pnp,"1,084",22.5,"3,447",71.6,284,5.9,,,,,,,"4,815",3,3,13,43,7,"4,884"
Guánica,ppd,"2,384",49.6,"2,330",48.5,90,1.9,,,,,,,"4,804","2,427",29,34,38,28,"7,360"
Guayama,ppd,"7,620",56.5,"5,228",38.8,641,4.8,,,,,,,"13,489",26,14,249,113,16,"13,907"
Guayanilla,pnp,"3,375",39.8,"4,788",56.4,324,3.8,,,,,,,"8,487",14,2,86,17,4,"8,610"
Guaynabo,pnp,"9,592",27.3,"21,806",62,"3,769",10.7,,,,,,,"35,167",255,22,"1,127",311,21,"36,903"
Gurabo,pnp,"3,313",21.6,"10,766",70.2,"1,249",8.1,,,,,,,"15,328",33,4,336,96,17,"15,814"
Hatillo,ppd,"9,461",66.6,"4,275",30.1,477,3.4,,,,,,,"14,213",23,6,46,95,21,"14,404"
Hormigueros,ppd,"4,604",70.8,"1,553",23.9,345,5.3,,,,,,,"6,502",15,2,25,52,2,"6,598"
Humacao,pnp,"8,575",44.9,"9,270",48.6,"1,241",6.5,,,,,,,"19,086",47,16,306,126,29,"19,610"
Isabela,ppd,"11,334",64.6,"5,623",32.1,585,3.3,,,,,,,"17,542",78,19,238,142,30,"18,049"
Jayuya,ppd,"3,883",51.7,"3,465",46.1,163,2.2,,,,,,,"7,511",3,1,15,19,7,"7,556"
Juana Díaz,ppd,"10,883",67.4,"4,252",26.3,"1,015",6.3,,,,,,,"16,150",26,7,41,138,18,"16,380"
Juncos,ppd,"6,908",53,"5,319",40.8,817,6.3,,,,,,,"13,044",13,3,22,65,9,"13,156"
Lajas,pnp,"3,872",43.8,"4,678",52.9,288,3.3,,,,,,,"8,838",9,6,31,38,14,"8,936"
Lares,ppd,"7,132",50.1,"6,667",46.9,424,3,,,,,,,"14,223",18,6,34,77,46,"14,404"
Las Marías,pnp,"2,488",43.8,"3,124",55,72,1.3,,,,,,,"5,684",2,5,5,13,8,"5,717"
Las Piedras,pnp,"3,978",29.7,"8,173",61,"1,246",9.3,,,,,,,"13,397",38,10,205,98,13,"13,761"
Loíza,ppd,"6,536",72,"2,373",26.1,172,1.9,,,,,,,"9,081",11,10,66,77,12,"9,257"
Luquillo,ppd,"3,347",53.1,"2,717",43.1,239,3.8,,,,,,,"6,303",10,1,14,27,16,"6,371"
Manatí,pnp,"3,988",30.1,"8,536",64.4,731,5.5,,,,,,,"13,255",522,24,311,145,14,"14,271"
Maricao,ppd,"1,779",53.2,"1,550",46.4,15,0.4,,,,,,,"3,344",38,8,8,15,19,"3,432"
Maunabo,pnp,"2,554",46.5,"2,762",50.3,176,3.2,,,,,,,"5,492",0,0,12,17,6,"5,527"
Mayagüez,ppd,"11,570",46.3,"10,194",40.8,"3,211",12.9,,,,,,,"24,975",185,16,769,277,38,"26,260"
Moca,pnp,"6,779",43.6,"8,342",53.6,434,2.8,,,,,,,"15,555",51,7,162,95,14,"15,884"
Morovis,ppd,"8,679",66.2,"4,278",32.6,158,1.2,,,,,,,"13,115",10,1,19,46,11,"13,202"
Naguabo,ppd,"4,480",52.9,"3,644",43.1,339,4,,,,,,,"8,463",30,2,36,41,5,"8,577"
Naranjito,pnp,"5,968",43.1,"7,336",53,532,3.8,,,,,,,"13,836",30,6,119,49,16,"14,056"
Orocovis,pnp,"4,280",39.9,"6,142",57.3,293,2.7,,,,,,,"10,715",18,3,152,52,5,"10,945"
Patillas,pnp,"3,264",45.4,"3,418",47.6,504,7,,,,,,,"7,186",19,0,18,44,5,"7,272"
Peñuelas,ppd,"5,377",55.8,"3,865",40.1,402,4.2,,,,,,,"9,644",16,3,52,38,9,"9,762"
Ponce,ppd,"30,117",61.8,"13,099",26.9,"2,488",5.1,"3,053",6.3,,,,,"48,757",97,15,103,324,41,"49,337"
Quebradillas,ppd,"6,109",62.8,"3,136",32.2,484,5,,,,,,,"9,729",54,8,60,85,8,"9,944"
Rincón,ppd,"3,174",52.5,"1,689",27.9,88,1.5,"1,099",18.2,,,,,"6,050",7,4,25,28,3,"6,117"
Río Grande,ppd,"11,216",70.5,"4,018",25.3,670,4.2,,,,,,,"15,904",42,23,490,69,21,"16,549"
Sabana Grande,ppd,"5,215",55.5,"3,563",37.9,619,6.6,,,,,,,"9,397",23,2,17,59,11,"9,509"
Salinas,ppd,"6,521",65.3,"2,859",28.6,608,6.1,,,,,,,"9,988",10,8,29,47,6,"10,088"
San Germán,pnp,"5,173",41,"6,427",50.9,"1,019",8.1,,,,,,,"12,619",171,12,332,72,18,"13,224"
San Juan,pnp,"29,451",23.2,"46,427",36.6,"4,157",3.3,"42,962",33.9,"3,848",3,,,"126,845",89,58,178,425,119,"127,714"
San Lorenzo,pnp,"7,467",47.5,"7,669",48.8,582,3.7,,,,,,,"15,718",35,9,36,70,13,"15,881"
San Sebastián,pnp,"3,602",23.8,"10,995",72.7,525,3.5,,,,,,,"15,122",35,8,139,109,21,"15,434"
Santa Isabel,ppd,"4,836",49.7,"4,591",47.2,300,3.1,,,,,,,"9,727",21,10,32,63,8,"9,861"
Toa Alta,ppd,"10,185",47.1,"9,235",42.7,"2,194",10.2,,,,,,,"21,614",44,9,611,147,26,"22,451"
Toa Baja,pnp,"5,526",21.8,"17,557",69.3,"2,247",8.9,,,,,,,"25,330",90,17,864,251,38,"26,590"
Trujillo Alto,ppd,"11,830",49.7,"9,701",40.7,"2,284",9.6,,,,,,,"23,815",58,5,684,146,22,"24,730"
Utuado,pnp,"5,375",45.8,"5,791",49.4,562,4.8,,,,,,,"11,728",54,7,49,81,3,"11,922"
Vega Alta,pnp,"5,792",46.8,"5,974",48.3,597,4.8,,,,,,,"12,363",18,5,45,78,18,"12,527"
Vega Baja,ppd,"12,285",67.4,"5,212",28.6,735,4,,,,,,,"18,232",43,5,363,121,31,"18,795"
Vieques,pnp,"1,348",44.3,"1,562",51.4,100,3.3,,,,,31,1,"3,041",212,4,25,17,4,"3,303"
Villalba,ppd,"7,927",64.7,"4,118",33.6,213,1.7,,,,,,,"12,258",9,13,65,35,32,"12,412"
Yabucoa,ppd,"9,613",65.5,"4,725",32.2,349,2.4,,,,,,,"14,687",18,9,315,59,13,"15,101"
Yauco,pnp,"4,054",28.8,"9,316",66.1,714,5.1,,,,,,,"14,084",62,13,219,88,14,"14,480"